id,title,genre_ids,poster_path
739547,"Telma, la unicornio","[16, 14, 10751]",https://image.tmdb.org/t/p/original/t2QbM7VgCPMZmSwGMNKuNIiRFZM.jpg
49013,Cars 2,"[16, 10751, 12, 35]",https://image.tmdb.org/t/p/original/eQo1LQs5Vo9RHVHYUhNSfMZa3VB.jpg
9502,Kung Fu Panda,"[28, 12, 16, 10751, 35]",https://image.tmdb.org/t/p/original/zcORJ8s9zsBjvKxP0k4FASQSjpf.jpg
10191,Cómo entrenar a tu dragón,"[14, 12, 16, 10751]",https://image.tmdb.org/t/p/original/pteWJuPBLJvv4ieHHqmPwvsgxlA.jpg
330457,Frozen 2,"[10751, 16, 12, 35, 14]",https://image.tmdb.org/t/p/original/jnFCk7qGGWop2DgfnJXeKLZFuBq.jpg
321612,La bella y la bestia,"[10751, 14, 10749]",https://image.tmdb.org/t/p/original/9ejTG3RYW3psH0cVhFmkVtTzdJx.jpg
953,Madagascar,"[10751, 16, 12, 35]",https://image.tmdb.org/t/p/original/zrV5GnfCcLWzyjrFgYTpjQPRMfl.jpg
1192209,El Arca de Noé,"[16, 10402, 35, 14, 10751]",https://image.tmdb.org/t/p/original/fRaBjht3S1HU6lJrz2SoFwwOZQM.jpg
810,Shrek tercero,"[14, 12, 16, 35, 10751]",https://image.tmdb.org/t/p/original/7sTwtmVPTX77CFOUXdwAM7lKtKL.jpg
260513,Los Increíbles 2,"[28, 12, 16, 10751]",https://image.tmdb.org/t/p/original/iNIKq8r155eRFlsoaxgfRYs71qY.jpg
1071866,Space Pups,"[12, 10751, 878]",https://image.tmdb.org/t/p/original/Ag96xmIUgGMGuqCJdpna0z1Fnbj.jpg
8920,Garfield: La película,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/pMQKL3Dx40au9e172ARVUWsT4qH.jpg
297270,Campanilla y la leyenda de la bestia,"[12, 16, 10751]",https://image.tmdb.org/t/p/original/14Yjf8xW2uWkZ3ZhagbrKMXbe70.jpg
1094556,El retorno de los Thunderman,"[10751, 878, 28, 35]",https://image.tmdb.org/t/p/original/u9F0QlZwwecGE9eHaaGKzx3pSS0.jpg
93456,Gru 2. Mi villano favorito,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/ikz6zymN62kqSFioVWAqn8mPufM.jpg
1040148,"Ruby, aventuras de una kraken adolescente","[16, 10751, 14, 35]",https://image.tmdb.org/t/p/original/kAU8CSAY5aCS91dSD5oky5TZcJU.jpg
9806,Los Increíbles,"[28, 12, 16, 10751]",https://image.tmdb.org/t/p/original/al1jusd4T7JPatZlj4BuYkDDOzr.jpg
11544,Lilo y Stitch,"[16, 10751]",https://image.tmdb.org/t/p/original/9EkzzLf3TxYrhGmEo2ZTmH49KLE.jpg
9820,Tú a Londres y yo a California,"[35, 10751, 10749]",https://image.tmdb.org/t/p/original/3JyIUavN6byTNKjWXupCCvRljRF.jpg
80321,Madagascar 3: De marcha por Europa,"[16, 10751, 35, 12]",https://image.tmdb.org/t/p/original/8fKTIecTVNURB6CRFjYMypggRL2.jpg
420809,Maléfica: Maestra del mal,"[10751, 14, 12, 28]",https://image.tmdb.org/t/p/original/eZOkXqHXWCKytd78TggAtJ0M3gU.jpg
102651,Maléfica,"[14, 12, 28, 10751, 10749]",https://image.tmdb.org/t/p/original/i8qn2A0Qfjj45EXlZVt92WnX7iH.jpg
10439,El retorno de las brujas,"[14, 35, 10751]",https://image.tmdb.org/t/p/original/sOBr6cJVh3X9woaJNf47rgVHFbO.jpg
11970,Hércules,"[16, 10751, 14, 12, 35, 10749]",https://image.tmdb.org/t/p/original/iwjP7ImLzXZjKHnCUChJThEtNJG.jpg
337404,Cruella,"[35, 80, 10751, 12]",https://image.tmdb.org/t/p/original/tNFBP5OTmKm7CTc5ptUwgmepd8G.jpg
459003,Mavka: Guardiana del bosque,"[16, 12, 10751, 14]",https://image.tmdb.org/t/p/original/7y2MqycqOzK8V8axtRLF6BERWoG.jpg
35,Los Simpson: La película,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/d9wHkwF9ttnNKuOoEIStve32jEk.jpg
62177,Brave (Indomable),"[16, 12, 35, 10751, 28, 14]",https://image.tmdb.org/t/p/original/eVt6IKkzKqNs80TX0JVan6sjH5Z.jpg
9732,El rey león 2: El tesoro de Simba,"[10751, 12, 16, 28]",https://image.tmdb.org/t/p/original/zdD5VcvTD43p048ueswYdgLJZh.jpg
811634,El Rey Mono: Renacimiento,"[16, 28, 14, 10751]",https://image.tmdb.org/t/p/original/xZYTo8hxbqCvXhrn0hXhZ1lKY7G.jpg
82690,¡Rompe Ralph!,"[10751, 16, 35, 12]",https://image.tmdb.org/t/p/original/lTpE4JQ2C09NicqvDhwi70IRz62.jpg
1221404,映画クレヨンしんちゃん オラたちの恐竜日記,"[16, 12, 35, 10751]",https://image.tmdb.org/t/p/original/nVUZBgpWxGDiKHMI6ymm4neoBsE.jpg
8355,Ice Age 3: El origen de los dinosaurios,"[16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/5OiDvlOXSyXB90pl4c3Qcl2w5yR.jpg
529203,Los Croods: Una nueva era,"[16, 10751, 12, 14, 35]",https://image.tmdb.org/t/p/original/5uMWKEmegf5aTJnp1u98JF4QerP.jpg
13313,La bella y la bestia 2: Una navidad encantada,"[16, 10751, 14]",https://image.tmdb.org/t/p/original/yT0XBIycUUh1vu8nOFHUNdVFuxC.jpg
11836,Bob Esponja: La película,"[10751, 16, 35, 14, 12]",https://image.tmdb.org/t/p/original/CtISczftMz6g7kyk5uLxBben8b.jpg
73723,Lorax. En busca de la trúfula perdida,"[16, 10751]",https://image.tmdb.org/t/p/original/b7FMtquHglzxIi938cHIgVQuPx5.jpg
9023,"Spirit, el corcel indomable","[16, 12, 35, 10751, 18, 37, 10749]",https://image.tmdb.org/t/p/original/qdaRFy6SL0mcHiH9dXHTwpDHigJ.jpg
772,Solo en casa 2: Perdido en Nueva York,"[35, 10751, 12]",https://image.tmdb.org/t/p/original/7sdiRUyc0ANHJptPhsgb1KL6hoq.jpg
196867,Annie,"[35, 18, 10751]",https://image.tmdb.org/t/p/original/aKAM9V0izx4VhsdyAdBvAB26UCZ.jpg
527774,Raya y el último dragón,"[16, 10751, 14, 28, 12]",https://image.tmdb.org/t/p/original/hbjOtofNpvFvhzBUUoZGAjkjjsl.jpg
675445,La Patrulla Canina: La película,"[16, 10751, 12, 35]",https://image.tmdb.org/t/p/original/fOYt5TfJKHHz0hFY37kSXKvEdf7.jpg
140300,Kung Fu Panda 3,"[28, 12, 16, 35, 10751]",https://image.tmdb.org/t/p/original/t11f8palNbICK9Ip5QLrUfhLJYq.jpg
1279104,The Legend of Catclaws Mountain,"[14, 10751]",https://image.tmdb.org/t/p/original/4T3Gz4ZC8H6kaEpq56S4j3mI40L.jpg
1108427,Vaiana,"[12, 35, 10751, 14]",https://image.tmdb.org/t/p/original/ys0jZr0quHERDUEoCboGQEKPvgQ.jpg
270946,Los pingüinos de Madagascar,"[10751, 16, 12, 35]",https://image.tmdb.org/t/p/original/lEnUxCpQUyntm2eLBzCTv3bfplV.jpg
105864,El viaje de Arlo,"[12, 16, 10751]",https://image.tmdb.org/t/p/original/1WKI6PM79XjK2LVS1B4yoG3wNHw.jpg
404378,Un gato callejero llamado Bob,"[10751, 18]",https://image.tmdb.org/t/p/original/2UbeVhIHUVAkFJvHA94TwRCvRhs.jpg
158852,Tomorrowland: El mundo del mañana,"[12, 10751, 9648, 878]",https://image.tmdb.org/t/p/original/go6qA8ksn5gkXcDnW3WtMeqzAg8.jpg
10882,La bella durmiente,"[14, 16, 10749, 10751]",https://image.tmdb.org/t/p/original/d7aeSm6RgJySwelL5tdu1TCclZh.jpg
408,Blancanieves y los siete enanitos,"[14, 16, 10751]",https://image.tmdb.org/t/p/original/wdA4lphQwywsPcEKj5sgQ9QSR55.jpg
166428,Cómo entrenar a tu dragón 3,"[16, 10751, 12]",https://image.tmdb.org/t/p/original/rhnoAReqO3Xoe6GbJhT3409lnq8.jpg
400160,Bob Esponja: Un héroe al rescate,"[10751, 16, 14, 12, 35]",https://image.tmdb.org/t/p/original/fi2pg2mtAZwhq3qVuAs6PztjnHT.jpg
10527,Madagascar 2,"[10751, 12, 16, 35]",https://image.tmdb.org/t/p/original/2uL5unGWKgBnaLdJLRjqcZjMr3I.jpg
79443,Los Pitufos: Cuento de Navidad,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/mXGT32oOHNJobzXhTrXExcqdsep.jpg
49444,Kung Fu Panda 2,"[16, 10751, 35]",https://image.tmdb.org/t/p/original/aNji9U9SPTecmoqGippQUBEyouy.jpg
420809,Maléfica: Maestra del mal,"[10751, 14, 12, 28]",https://image.tmdb.org/t/p/original/eZOkXqHXWCKytd78TggAtJ0M3gU.jpg
10439,El retorno de las brujas,"[14, 35, 10751]",https://image.tmdb.org/t/p/original/sOBr6cJVh3X9woaJNf47rgVHFbO.jpg
62211,Monstruos University,"[16, 10751]",https://image.tmdb.org/t/p/original/4rLfeHGIyDEQsqR22iajGSLFNME.jpg
81188,El origen de los guardianes,"[10751, 16, 14, 28, 12]",https://image.tmdb.org/t/p/original/kDVXsTZhssIJeZIMBC33MqmgkrQ.jpg
9487,"Bichos, una aventura en miniatura","[10751, 16, 12, 35]",https://image.tmdb.org/t/p/original/3zc9gBzw0egrp7lMrE0zqFkNMms.jpg
9325,El libro de la selva,"[10751, 16, 12]",https://image.tmdb.org/t/p/original/1w8wk8htVPW5cdCYnRU4bt5y5Fw.jpg
76492,Hotel Transilvania,"[16, 35, 10751, 14]",https://image.tmdb.org/t/p/original/zvWlwBGQWuJ0wog65q1uS37BApC.jpg
82702,Cómo entrenar a tu dragón 2,"[14, 28, 12, 16, 35, 10751]",https://image.tmdb.org/t/p/original/lVKSLbEYpx8y4YeJh5GJGAk0a0p.jpg
297270,Campanilla y la leyenda de la bestia,"[12, 16, 10751]",https://image.tmdb.org/t/p/original/14Yjf8xW2uWkZ3ZhagbrKMXbe70.jpg
529203,Los Croods: Una nueva era,"[16, 10751, 12, 14, 35]",https://image.tmdb.org/t/p/original/5uMWKEmegf5aTJnp1u98JF4QerP.jpg
408,Blancanieves y los siete enanitos,"[14, 16, 10751]",https://image.tmdb.org/t/p/original/wdA4lphQwywsPcEKj5sgQ9QSR55.jpg
1150394,La Leyenda de los Chaneques,"[16, 35, 10751, 27]",https://image.tmdb.org/t/p/original/4f9ghI3utknpeBZSAzNuIKKATOA.jpg
508442,Soul,"[16, 10751, 35, 14]",https://image.tmdb.org/t/p/original/xJ7MCAy4oCLerPo3JjnB8lKOhl4.jpg
10882,La bella durmiente,"[14, 16, 10749, 10751]",https://image.tmdb.org/t/p/original/d7aeSm6RgJySwelL5tdu1TCclZh.jpg
159824,Hotel Transilvania 2,"[16, 35, 10751, 14]",https://image.tmdb.org/t/p/original/ndYVcm1k3h81MRDhzZCI4SxDzGp.jpg
105864,El viaje de Arlo,"[12, 16, 10751]",https://image.tmdb.org/t/p/original/1WKI6PM79XjK2LVS1B4yoG3wNHw.jpg
80321,Madagascar 3: De marcha por Europa,"[16, 10751, 35, 12]",https://image.tmdb.org/t/p/original/8fKTIecTVNURB6CRFjYMypggRL2.jpg
324852,Gru 3. Mi villano favorito,"[28, 16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/hbcBR6G5qNLX4OwLtWHdNJVzpei.jpg
11836,Bob Esponja: La película,"[10751, 16, 35, 14, 12]",https://image.tmdb.org/t/p/original/CtISczftMz6g7kyk5uLxBben8b.jpg
196867,Annie,"[35, 18, 10751]",https://image.tmdb.org/t/p/original/aKAM9V0izx4VhsdyAdBvAB26UCZ.jpg
140300,Kung Fu Panda 3,"[28, 12, 16, 35, 10751]",https://image.tmdb.org/t/p/original/t11f8palNbICK9Ip5QLrUfhLJYq.jpg
10112,Los aristogatos,"[16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/s9DsxlbVE1HvHnCz50GdHDBeZRy.jpg
10527,Madagascar 2,"[10751, 12, 16, 35]",https://image.tmdb.org/t/p/original/2uL5unGWKgBnaLdJLRjqcZjMr3I.jpg
774825,Ice Age: Las aventuras de Buck,"[16, 35, 12, 10751]",https://image.tmdb.org/t/p/original/wdiMAU3KgGlomdTYhqtNn3Uulfs.jpg
278927,El libro de la selva,"[10751, 12, 18, 14]",https://image.tmdb.org/t/p/original/pQGB08Kxyt3TLN4L01E175BRcvu.jpg
2454,Las crónicas de Narnia: El príncipe Caspian,"[12, 10751, 14]",https://image.tmdb.org/t/p/original/r3X3ss0pEy1CntvxbgDYZD3XFa6.jpg
950,Ice Age 2: El deshielo,"[16, 10751, 35, 12]",https://image.tmdb.org/t/p/original/wnBEdWq5gplaAgTmYFg4cq89mWi.jpg
1170657,Barbie y Stacie al rescate,"[16, 10751]",https://image.tmdb.org/t/p/original/7ItqIoQl7Qk86e1ggJESBrDV6nl.jpg
16859,"Nicky, la aprendiz de bruja","[16, 10751, 14]",https://image.tmdb.org/t/p/original/psw0tp25DNBkdEAfwjZYcgbpgme.jpg
12429,Ponyo en el acantilado,"[16, 14, 10751]",https://image.tmdb.org/t/p/original/nhp8r2zx4u6NfYRPISfVPE4AM6N.jpg
21542,El amor no cuesta nada,"[35, 18, 10751, 10749]",https://image.tmdb.org/t/p/original/88zspc72LIkfiuMnGpHnsWCuqEH.jpg
1205781,Dora: ¡Di hello a la aventura!,"[16, 10751]",https://image.tmdb.org/t/p/original/6G2yD0jIomxAle244xz5PT20rn6.jpg
812,Aladdin,"[16, 10751, 12, 14, 10749]",https://image.tmdb.org/t/p/original/5MoKURsBQPUt3hJxWnKRRzLWbOW.jpg
11430,El rey león 3: Hakuna Matata,"[10751, 16, 35, 28]",https://image.tmdb.org/t/p/original/x2SAEOXURbKDgKfdHdZ49VhPGrB.jpg
44896,Rango,"[16, 35, 10751, 37, 12]",https://image.tmdb.org/t/p/original/9p73gp8ugku8n1YNhO0dYryF1ll.jpg
12092,Alicia en el país de las maravillas,"[16, 10751, 14, 12]",https://image.tmdb.org/t/p/original/nqdSBYNKuMrNVQapd4Cgl67wBZJ.jpg
14411,Simbad: La leyenda de los siete mares,"[10751, 16, 12, 35, 14, 28]",https://image.tmdb.org/t/p/original/ewoNM3cDc3DG0yRhtvya2UUiXN1.jpg
12230,101 dálmatas,"[12, 16, 35, 10751]",https://image.tmdb.org/t/p/original/wny5QtN4D9KYRaW3jDCNMSCQ8gc.jpg
10555,El espantatiburones,"[16, 28, 35, 10751]",https://image.tmdb.org/t/p/original/3vI17Q3mfkIEpvwItomxMy5w1gw.jpg
